iata,name,city,state,country,latitude,longitude
4I7,Putnam County Airport,Greencastle,,USA,39.6335556,-86.8138056
C91,Dowagiac Municipal Airport,Dowagiac,,USA,41.9929342,-86.1280125
CDI,Cambridge Municipal Airport,Cambridge,,USA,39.9750278,-81.5775833
SUE,Door County Cherryland Airport,Sturgeon Bay,,USA,44.8436667,-87.4215556
0P2,Shoestring Aviation Airfield,Stewartstown,,USA,39.7948244,-76.6471914
PDT,Eastern Oregon Regional Airport,Pendleton,,USA,45.695,-118.841389
TYE,Tyonek Airport,Tyonek,,USA,61.076667,-151.138056
RIW,Riverton Regional,Riverton WY,,USA,43.064167,-108.459722
MTJ,Montrose Regional Airport,Montrose CO,,USA,38.509794,-107.894242
1CS,Clow International Airport,Bolingbrook,,USA,41.6959744,-88.1292306
ENW,Kenosha Regional Airport,Kenosha,,USA,42.5956944,-87.9278056
VGT,North Las Vegas Airport,Las Vegas,,USA,36.2106944,-115.1944444
,Brown County Airport,Georgetown,,USA,38.8819456,-83.8827367
C02,Grand Geneva Resort Airport,Lake Geneva,,USA,42.6149167,-88.3895833
DKB,De Kalb Taylor Municipal Airport,De Kalb,,USA,41.9338342,-88.7056864
LAF,Purude University Airport,Lafayette,,USA,40.4123056,-86.9368889
OXD,Miami University Airport,Oxford,,USA,39.5022607,-84.7843814
MIE,Delaware County Airport,Muncie,,USA,40.2424722,-85.39575
1RL,Point Roberts Airpark,Point Roberts,,USA,48.9797222,-123.0788889
MQB,Macomb Municipal Airport,Macomb,,USA,40.5200833,-90.6523889
AUW,Wausau Downtown Airport,Wausau,,USA,44.9262845,-89.6270018
C47,Portage Municipal Airport,Portage,,USA,43.5603136,-89.4828607
IWD,Gogebic Iron County Airport,Ironwood,,USA,46.5274747,-90.1313967
MCD,Mackinac Island Airport,Mackinac Island,,USA,45.8649344,-84.637344
GRM,Grand Marais Cook County Airport,Grand Marais,,USA,47.8383333,-90.3829444
NPZ,Porter County Municipal Airport,Valparaiso,,USA,41.4539722,-87.0070833
,Silverton,Silverton,,USA,37.812545,-107.662994
MXY,McCarthy Airport,McCarthy,,USA,61.4370608,-142.9030737
SWD,Seward Airport,Seward,,USA,60.1269383,-149.4188122
MGC,Michigan City Municipal Airport,Michigan City,,USA,41.7033,-86.8211
,East Glacier Park Amtrak Station,East Glacier,,USA,48.443965,-113.218556
AET,Allakaket Airport,Allakaket,,USA,66.5519,-152.6222
YAK,Yakutat,Yakutat,,USA,59.3012,-139.3937
MQT,Sawyer International Airport,Marquette,,USA,46.353611,-87.395278
IMT,Ford Airport,Iron Mountain,,USA,45.8183611,-88.1145556
ESC,Delta County Airport,Escanaba,,USA,45.722778,-87.093611
MWA,Williamson Country Regional Airport,Marion,,USA,37.7549569,-89.0110936
BTI,Barter Island Lrrs,Barter Island,,USA,70.133989,-143.581867
K03,Wainwright As,Fort Wainwright,,USA,70.613378,-159.86035
LUR,Cape Lisburne Lrrs,Cape Lisburne,,USA,68.875133,-166.110022
PIZ,Point Lay Lrrs,Point Lay,,USA,69.732875,-163.005342
ITO,Hilo Intl,Hilo,,USA,19.721375,-155.048469
ORL,Executive,Orlando,,USA,28.545464,-81.332936
BTT,Bettles,Bettles,,USA,66.913944,-151.529056
Z84,Clear,Clear Mews,,USA,64.301203,-149.120144
UTO,Indian Mountain Lrrs,Indian Mountains,,USA,65.992794,-153.704289
FYU,Fort Yukon,Fort Yukon,,USA,66.571492,-145.250417
SVW,Sparrevohn Lrrs,Sparrevohn,,USA,61.097369,-155.574228
FRN,Bryant Ahp,Fort Richardson,,USA,61.266381,-149.653119
TLJ,Tatalina Lrrs,Tatalina,,USA,62.894369,-155.976525
CZF,Cape Romanzof Lrrs,Cape Romanzof,,USA,61.780297,-166.038747
BED,Laurence G Hanscom Fld,Bedford,,USA,42.469953,-71.289031
SNP,St Paul Island,St. Paul Island,,USA,57.167333,-170.220444
EHM,Cape Newenham Lrrs,Cape Newenham,,USA,58.646428,-162.062778
PBV,St George,Point Barrow,,USA,56.578344,-169.661611
ILI,Iliamna,Iliamna,,USA,59.754356,-154.910961
PTU,Platinum,Port Moller,,USA,59.011356,-161.819664
BMX,Big Mountain Afs,Big Mountain,,USA,59.361247,-155.258822
OSC,Oscoda Wurtsmith,Oscoda,,USA,44.451558,-83.394053
OAR,Marina Muni,Fort Ord,,USA,36.681878,-121.762347
MHR,Sacramento Mather,Sacramento,,USA,38.553897,-121.297592
BYS,Bicycle Lake Aaf,Fort Irwin,,USA,35.280531,-116.630031
NXP,Twentynine Palms Eaf,Twenty Nine Palms,,USA,34.296161,-116.162203
FSM,Fort Smith Rgnl,Fort Smith,,USA,35.336583,-94.367444
MRI,Merrill Fld,Anchorage,,USA,61.213544,-149.844447
GNT,Grants Milan Muni,Grants,,USA,35.167286,-107.901989
PNC,Ponca City Rgnl,Ponca City,,USA,36.731958,-97.099781
SVN,Hunter Aaf,Hunter Aaf,,USA,32.01,-81.145683
GFK,Grand Forks Intl,Grand Forks,,USA,47.949256,-97.176111
PBF,Grider Fld,Pine Bluff,,USA,34.173142,-91.935597
NSE,Whiting Fld Nas North,Milton,,USA,30.724167,-87.021944
HNM,Hana,Hana,,USA,20.795636,-156.014439
PRC,Ernest A Love Fld,Prescott,,USA,34.654472,-112.419583
TTN,Trenton Mercer,Trenton,,USA,40.276692,-74.813469
BOS,General Edward Lawrence Logan Intl,Boston,MA,USA,42.364347,-71.005181
SUU,Travis Afb,Fairfield,,USA,38.262692,-121.927464
RME,Griffiss Afld,Rome,,USA,43.2338,-75.407033
ENV,Wendover,Wendover,,USA,40.718694,-114.030889
BFM,Mobile Downtown,Mobile,,USA,30.626783,-88.068092
OAK,Metropolitan Oakland Intl,Oakland,,USA,37.721278,-122.220722
OMA,Eppley Afld,Omaha,,USA,41.303167,-95.894069
NOW,Port Angeles Cgas,Port Angeles,,USA,48.141481,-123.414075
OGG,Kahului,Kahului,,USA,20.89865,-156.430458
ICT,Wichita Mid Continent,Wichita,,USA,37.649944,-97.433056
MCI,Kansas City Intl,Kansas City,MO,USA,39.297606,-94.713905
MSN,Dane Co Rgnl Truax Fld,Madison,,USA,43.139858,-89.337514
DLG,Dillingham,Dillingham,,USA,59.044667,-158.5055
HRO,Boone Co,Harrison,,USA,36.261519,-93.154728
PHX,Phoenix Sky Harbor Intl,Phoenix,AZ,USA,33.434278,-112.011583
BGR,Bangor Intl,Bangor,,USA,44.807444,-68.828139
FXE,Fort Lauderdale Executive,Fort Lauderdale,,USA,26.197281,-80.170706
GGG,East Texas Rgnl,Longview,,USA,32.384014,-94.711486
AND,Anderson Rgnl,Andersen,,USA,34.494583,-82.709389
GEG,Spokane Intl,Spokane,,USA,47.619861,-117.533833
HWO,North Perry,Hollywood,,USA,26.001222,-80.240722
SFO,San Francisco Intl,San Francisco,CA,USA,37.618972,-122.374889
CTB,Cut Bank Muni,Cutbank,,USA,48.608353,-112.376144
ARA,Acadiana Rgnl,Louisiana,,USA,30.037758,-91.883896
GNV,Gainesville Rgnl,Gainesville,,USA,29.690056,-82.271778
MEM,Memphis Intl,Memphis,TN,USA,35.042417,-89.976667
DUG,Bisbee Douglas Intl,Douglas,,USA,31.469028,-109.603667
BIG,Allen Aaf,Delta Junction,,USA,63.994547,-145.721642
CNW,Tstc Waco,Waco,,USA,31.637831,-97.074139
ANN,Annette Island,Annette Island,,USA,55.042436,-131.572233
CAR,Caribou Muni,Caribou,,USA,46.8715,-68.017917
LRF,Little Rock Afb,Jacksonville,,USA,34.916944,-92.149722
HUA,Redstone Aaf,Redstone,,USA,34.678653,-86.684781
POB,Pope Field,Fort Bragg,,USA,35.170883,-79.014472
DHT,Dalhart Muni,Dalhart,,USA,36.022586,-102.547278
DLF,Laughlin Afb,Del Rio,,USA,29.359486,-100.777975
LAX,Los Angeles Intl,Los Angeles,CA,USA,33.942536,-118.408075
ANB,Anniston Metro,Anniston,,USA,33.588167,-85.858111
CLE,Cleveland Hopkins Intl,Cleveland,OH,USA,41.411689,-81.849794
DOV,Dover Afb,Dover,,USA,39.129539,-75.465958
CVG,Cincinnati Northern Kentucky Intl,Cincinnati,KY,USA,39.048836,-84.667822
FME,Tipton,Fort Meade,,USA,39.085386,-76.759414
NID,China Lake Naws,China,,USA,35.685422,-117.692039
HON,Huron Rgnl,Huron,,USA,44.3852,-98.228542
JNU,Juneau Intl,Juneau,,USA,58.354972,-134.576278
LFT,Lafayette Rgnl,Lafayette,,USA,30.205278,-91.987611
EWR,Newark Liberty Intl,Newark,NJ,USA,40.6925,-74.168667
